NO,TOKO,PROVINSI,KOTA/KABUPATEN,KETERANGAN,ALAMAT SP (LATLONG)
1,CV ANDELA JAYA,JAWA BARAT,Kota Cirebon,ICI PAINT,"-6.751383369072352, 108.53986894747766"
2,DEPO BANGUNAN ALAM SUTERA,BANTEN,Kota Tangerang Selatan,ICI PAINT,"-6.240545673191419, 106.64976285430488"
3,DEPO BANGUNAN DEPOK,JAWA BARAT,Kota Depok,ICI PAINT,"-6.411850220828159, 106.81946705090886"
4,DEPO BANGUNAN REMPOA,DKI JAKARTA,Jakarta Selatan,ICI PAINT,"-6.270258913755428,106.76473968243718"
5,DEPO TINTING PT BINTANG OPTIMA,BANTEN,Kota Tangerang,ICI PAINT,"-6.142275519674418,106.6831187778914"
6,DEPO TINTING PT. BINTANG OPTIMA (SR),BANTEN,Kota Tangerang,ICI PAINT,"-6.142275519674418, 106.6831187778914"
7,DEPO TINTING PT. BINTANG OPTIMA (VF),BANTEN,Kota Tangerang,ICI PAINT,"-6.142275519674418, 106.6831187778914"
8,DEPO TINTING PT. BINTANG OPTIMA SEJATI,BANTEN,Kota Tangerang,ICI PAINT,"-6.142275519674418, 106.6831187778914"
9,Depo Tinting Tangerang,BANTEN,Kota Tangerang,ICI PAINT,"-6.142275519674418, 106.6831187778914"
10,MITRA 10 BINTARO,BANTEN,Kota Tangerang Selatan,ICI PAINT,"-6.258638306827768, 106.74721360543242"
11,MITRA 10 BINTARO 2,BANTEN,Kota Tangerang Selatan,ICI PAINT,"-6.266082050508629, 106.6896935609695"
12,MITRA 10 BOGOR,JAWA BARAT,Kota Bogor,ICI PAINT,"-6.562102373790036, 106.79229815091095"
13,MITRA 10 CIBINONG,JAWA BARAT,Kabupaten Bogor,ICI PAINT,"-6.461117665243094, 106.85743210858078"
14,MITRA 10 CIKUPA,BANTEN,Kabupaten Tangerang,ICI PAINT,"-6.225258081187383, 106.5452187195321"
15,MITRA 10 CINERE,JAWA BARAT,Kota Depok,ICI PAINT,"-6.332445982588057, 106.78336043926429"
16,MITRA 10 CIREBON,JAWA BARAT,Kabupaten Cirebon,ICI PAINT,"-6.6956562471076255, 108.5513643509128"
